,Unnamed: 0,jmeno,pohlavi,datum_narozeni,vek,vek_dny_srpen31,body_za_vek,spadova_skolka,skolka_sourozence,bydliste_brno,prioritni_vek,id,mc
631,2026,Klára Králová,F,2017-08-25,6,5,2120.1,25,,True,True,25,stred
632,2153,Ludmila Křenková,F,2018-09-23,4,-24,2040.0,25,,True,True,25,stred
633,2278,Michaela Kočová,F,2020-04-06,3,146,2002.92,25,,True,True,25,stred
634,2461,Pavlína Urbanová,F,2020-05-28,3,94,2001.88,25,,True,True,25,stred
635,2857,Andrea Kadlecová,F,2018-09-25,4,-26,2040.0,25,,True,True,25,stred
636,2956,Daniela Havlíčková,F,2020-10-31,2,-62,1000.0,25,,True,False,25,stred
637,2996,Dominika Havlíčková,F,2016-07-07,7,54,2161.08,25,,True,False,25,stred
638,3111,Irena Benešová,F,2017-08-08,6,22,2120.44,25,,True,True,25,stred
639,30,Jan Kadlec,M,2018-05-26,5,96,2081.92,78,,True,True,78,vinohrady
640,47,Petr Veselý,M,2020-04-20,3,132,2002.64,78,,True,True,78,vinohrady
641,178,Martin Beneš,M,2017-03-04,6,179,2123.58,78,,True,True,78,vinohrady
642,278,Pavel Staněk,M,2018-01-28,5,214,2084.28,78,,True,True,78,vinohrady
643,474,Jakub Janda,M,2020-03-19,3,164,2003.28,78,,True,True,78,vinohrady
644,518,Ondřej Staněk,M,2020-08-11,3,19,2000.38,78,,True,True,78,vinohrady
645,527,Václav Veselý,M,2018-12-28,4,-120,2040.0,78,40.0,True,True,78,vinohrady
646,573,Tomáš Soukup,M,2019-03-04,4,179,2043.58,78,,True,True,78,vinohrady
647,732,Radek Urban,M,2017-06-25,6,66,2121.32,78,,True,True,78,vinohrady
648,829,Aleš Kratochvíl,M,2019-05-06,4,116,2042.32,78,,True,True,78,vinohrady
649,1261,Vladimír Svatoš,M,2020-04-07,3,145,2002.9,78,,True,True,78,vinohrady
650,1403,Viktor Dvořák,M,2020-12-02,2,-94,1000.0,78,,True,False,78,vinohrady
651,1448,Róbert Horák,M,2020-07-28,3,33,2000.66,78,,True,True,78,vinohrady
652,1527,Matúš Veselý,M,2016-09-25,6,-26,2120.0,78,,True,True,78,vinohrady
653,1603,Anna Dvořáková,F,2018-09-01,4,-2,2040.0,78,,True,True,78,vinohrady
654,1795,Hana Tomášková,F,2021-01-09,2,233,4.66,78,,True,False,78,vinohrady
655,2137,Ludmila Kadlecová,F,2016-11-29,6,-91,2120.0,78,,True,True,78,vinohrady
656,2170,Marcela Křížová,F,2016-12-16,6,-108,2120.0,78,,True,True,78,vinohrady
657,2200,Marta Nováková,F,2020-11-10,2,-72,1000.0,78,,True,False,78,vinohrady
658,2347,Natálie Vondráčková,F,2020-09-20,2,-21,1000.0,78,,True,False,78,vinohrady
659,2368,Nikola Horáková,F,2019-09-07,3,-8,2000.0,78,,True,True,78,vinohrady
660,2374,Nikola Růžičková,F,2021-05-28,2,94,1.88,78,,True,False,78,vinohrady
661,2551,Renata Benešová,F,2019-03-12,4,171,2043.42,78,,True,True,78,vinohrady
662,2782,Zuzana Hájková,F,2020-01-17,3,226,2004.52,78,,True,True,78,vinohrady
663,2817,Alena Kadlecová,F,2018-11-15,4,-77,2040.0,78,,True,True,78,vinohrady
664,3099,Irena Matějová,F,2016-12-15,6,-107,2120.0,78,,True,True,78,vinohrady
665,3102,Irena Hájková,F,2020-08-05,3,25,2000.5,78,,True,True,78,vinohrady
666,31,Jan Kříž,M,2019-07-03,4,58,2041.16,48,,True,True,48,stred
667,164,Martin Černý,M,2017-03-26,6,157,2123.14,48,,True,True,48,stred
668,339,David Bílý,M,2019-04-30,4,122,2042.44,48,,True,True,48,stred
669,577,Tomáš Růžička,M,2017-10-11,5,-42,2080.0,48,,True,True,48,stred
670,877,Milan Navrátil,M,2017-05-18,6,104,2122.08,48,,True,True,48,stred
671,938,Jozef Beneš,M,2017-11-11,5,-73,2080.0,48,,True,True,48,stred
672,1001,Anton Svoboda,M,2020-08-28,3,2,2000.04,48,,True,True,48,stred
673,1106,Andrej Toman,M,2017-12-20,5,-112,2080.0,48,,True,True,48,stred
674,1201,Igor Svoboda,M,2018-08-29,5,1,2080.02,48,,True,True,48,stred
675,1218,Igor Beneš,M,2020-01-17,3,226,2004.52,48,,True,True,48,stred
676,1311,Štefan Kříž,M,2021-03-24,2,159,3.18,48,,True,False,48,stred
677,1635,Anna Tomášková,F,2020-01-22,3,221,2004.42,48,,True,True,48,stred
678,1878,Ivana Kočová,F,2019-01-14,4,228,2044.56,48,,True,True,48,stred
679,2031,Klára Benešová,F,2018-12-26,4,-118,2040.0,48,,True,True,48,stred
680,2763,Zuzana Dvořáková,F,2020-07-12,3,49,2000.98,48,,True,True,48,stred
681,2846,Andrea Kučerová,F,2018-12-17,4,-109,2040.0,48,,True,True,48,stred
682,2923,Daniela Dvořáková,F,2020-01-08,3,235,2004.7,48,,True,True,48,stred
683,3067,Gabriela Vondráčková,F,2017-09-23,5,-24,2080.0,48,,True,True,48,stred
684,32,Jan Horváth,M,2017-04-15,6,137,2122.74,109,,True,True,109,zabovresky
685,153,Jiří Polák,M,2017-02-18,6,193,2123.86,109,,True,True,109,zabovresky
686,422,Adam Mareš,M,2020-09-01,2,-2,1000.0,109,,True,False,109,zabovresky
687,652,Jaroslav Urban,M,2019-01-10,4,232,2044.64,109,,True,True,109,zabovresky
688,665,Jaroslav Tomáš,M,2020-12-17,2,-109,1000.0,109,,True,False,109,zabovresky
689,667,Jaroslav Konečný,M,2021-02-24,2,187,3.74,109,,True,False,109,zabovresky
690,1095,Andrej Fiala,M,2019-06-25,4,66,2041.32,109,,True,True,109,zabovresky
691,1132,Miroslav Urban,M,2019-08-02,4,28,2040.56,109,,True,True,109,zabovresky
692,1164,Richard Černý,M,2018-08-06,5,24,2080.48,109,,True,True,109,zabovresky
693,1181,Richard Svatoš,M,2020-09-16,2,-17,1000.0,109,,True,False,109,zabovresky
694,1301,Štefan Svatoš,M,2020-11-03,2,-65,1000.0,109,,True,False,109,zabovresky
695,1641,Barbora Svobodová,F,2021-05-20,2,102,2.04,109,,True,False,109,zabovresky
696,1698,Denisa Tichá,F,2020-01-11,3,232,2004.64,109,,True,True,109,zabovresky
697,1743,Eva Pechová,F,2020-07-07,3,54,2001.08,109,,True,True,109,zabovresky
698,1871,Ivana Benešová,F,2021-01-05,2,237,4.74,109,,True,False,109,zabovresky
699,2352,Natálie Kopecká,F,2017-04-20,6,132,2122.64,109,,True,True,109,zabovresky
700,2355,Natálie Tomášková,F,2017-09-30,5,-31,2080.0,109,,True,True,109,zabovresky
701,2405,Patricia Procházková,F,2016-11-22,6,-84,2120.0,109,,True,True,109,zabovresky
702,2665,Tereza Hlaváčková,F,2018-02-23,5,188,2083.76,109,,True,True,109,zabovresky
703,2690,Veronika Křížová,F,2020-10-07,2,-38,1000.0,109,,True,False,109,zabovresky
704,2887,Blanka Veselá,F,2019-03-29,4,154,2043.08,109,,True,True,109,zabovresky
705,2961,Dominika Svobodová,F,2018-01-25,5,217,2084.34,109,,True,True,109,zabovresky
706,3030,Eliška Rýdlová,F,2017-08-31,5,-1,2080.0,109,,True,True,109,zabovresky
707,3055,Gabriela Bílá,F,2021-02-10,2,201,4.0200000000000005,109,,True,False,109,zabovresky
708,3105,Irena Hlaváčková,F,2019-07-09,4,52,2041.04,109,,True,True,109,zabovresky
709,33,Jan Polák,M,2019-01-13,4,229,2044.58,43,,True,True,43,chrlice
710,148,Jiří Vlček,M,2021-03-21,2,162,3.24,43,,True,False,43,chrlice
711,476,Jakub Macháček,M,2019-10-14,3,-45,2000.0,43,,True,True,43,chrlice
712,909,Ján Kratochvíl,M,2018-05-26,5,96,2081.92,43,,True,True,43,chrlice
713,920,Jozef Novák,M,2018-05-14,5,108,2082.16,43,,True,True,43,chrlice
714,953,Jozef Polák,M,2019-07-30,4,31,2040.62,43,,True,True,43,chrlice
715,1017,Anton Růžička,M,2016-12-26,6,-118,2120.0,43,,True,True,43,chrlice
716,1046,Peter Kovařík,M,2020-10-11,2,-42,1000.0,43,,True,False,43,chrlice
717,1173,Richard Soukup,M,2017-08-05,6,25,2120.5,43,,True,True,43,chrlice
718,1337,Juraj Růžička,M,2018-08-23,5,7,2080.14,43,,True,True,43,chrlice
719,1389,Patrik Kratochvíl,M,2017-06-24,6,67,2121.34,43,,True,True,43,chrlice
720,1468,Róbert Vlček,M,2016-11-17,6,-79,2120.0,43,,True,True,43,chrlice
721,1595,Samuel Dušek,M,2018-03-17,5,166,2083.32,43,,True,True,43,chrlice
722,1628,Anna Zábranská,F,2018-04-23,5,129,2082.58,43,,True,True,43,chrlice
723,1868,Ivana Zábranská,F,2018-05-14,5,108,2082.16,43,,True,True,43,chrlice
724,1949,Karolína Marečková,F,2017-01-29,6,213,2124.26,43,,True,True,43,chrlice
725,2055,Lenka Bílá,F,2020-05-24,3,98,2001.96,43,,True,True,43,chrlice
726,2207,Marta Veselá,F,2017-12-02,5,-94,2080.0,43,,True,True,43,chrlice
727,2753,Zdeňka Křenková,F,2021-06-06,2,85,1.7,43,,True,False,43,chrlice
728,2793,Zuzana Křenková,F,2021-04-06,2,146,2.92,43,,True,False,43,chrlice
729,3024,Eliška Šimková,F,2020-08-09,3,21,2000.42,43,,True,True,43,chrlice
730,3090,Irena Křížová,F,2021-01-07,2,235,4.7,43,,True,False,43,chrlice
731,34,Jan Janda,M,2017-10-29,5,-60,2080.0,96,45.0,True,True,96,cernovice
732,40,Petr Novák,M,2018-12-02,4,-94,2040.0,96,,True,True,96,cernovice
733,41,Petr Svoboda,M,2021-08-28,2,2,0.04,96,,True,False,96,cernovice
734,404,Adam Černý,M,2018-09-18,4,-19,2040.0,96,,True,True,96,cernovice
735,419,Adam Bílý,M,2021-03-28,2,155,3.1,96,,True,False,96,cernovice
736,1145,Miroslav Tomáš,M,2019-04-29,4,123,2042.46,96,,True,True,96,cernovice
737,1154,Miroslav Janda,M,2017-01-18,6,224,2124.48,96,,True,True,96,cernovice
738,1264,Vladimír Vávra,M,2020-01-31,3,212,2004.24,96,,True,True,96,cernovice
739,1406,Viktor Kovařík,M,2019-06-29,4,62,2041.24,96,,True,True,96,cernovice
740,1471,Róbert Kříž,M,2018-09-29,4,-30,2040.0,96,,True,True,96,cernovice
741,1734,Eva Růžičková,F,2020-04-09,3,143,2002.86,96,,True,True,96,cernovice
742,1797,Hana Tesařová,F,2017-06-06,6,85,2121.7,96,,True,True,96,cernovice
743,1842,Ivana Novotná,F,2016-06-05,7,86,2161.72,96,,True,False,96,cernovice
744,1879,Ivana Šťastná,F,2019-07-04,4,57,2041.14,96,,True,True,96,cernovice
745,2169,Marcela Němcová,F,2017-09-18,5,-19,2080.0,96,,True,True,96,cernovice
746,2329,Natálie Němcová,F,2019-04-21,4,131,2042.62,96,,True,True,96,cernovice
747,2437,Patricia Tesařová,F,2021-07-16,2,45,0.9,96,,True,False,96,cernovice
748,2494,Petra Růžičková,F,2018-04-01,5,151,2083.02,96,,True,True,96,cernovice
749,2528,Renata Horáková,F,2019-04-05,4,147,2042.94,96,,True,True,96,cernovice
750,2631,Soňa Benešová,F,2018-11-15,4,-77,2040.0,96,,True,True,96,cernovice
751,2670,Tereza Rýdlová,F,2018-04-28,5,124,2082.48,96,,True,True,96,cernovice
752,3065,Gabriela Hlaváčková,F,2021-07-17,2,44,0.88,96,,True,False,96,cernovice
753,3183,Lenka Pechová,F,2018-08-21,5,9,2080.18,96,,True,True,96,cernovice
754,35,Jan Dušek,M,2020-08-18,3,12,2000.24,24,,True,True,24,sever
755,51,Petr Marek,M,2017-05-18,6,104,2122.08,24,,True,True,24,sever
756,197,Martin Navrátil,M,2021-02-19,2,192,3.84,24,,True,False,24,sever
757,264,Pavel Vávra,M,2019-08-22,4,8,2040.16,24,,True,True,24,sever
758,396,Marek Macháček,M,2018-04-02,5,150,2083.0,24,,True,True,24,sever
759,456,Jakub Král,M,2019-11-19,3,-81,2000.0,24,,True,True,24,sever
760,537,Václav Růžička,M,2017-03-05,6,178,2123.56,24,,True,True,24,sever
761,655,Jaroslav Fiala,M,2017-03-20,6,163,2123.26,24,,True,True,24,sever
762,768,Filip Horák,M,2016-12-05,6,-97,2120.0,24,,True,True,24,sever
763,863,Milan Mach,M,2018-03-07,5,176,2083.52,24,,True,True,24,sever
764,919,Ján Pekař,M,2020-10-06,2,-37,1000.0,24,,True,False,24,sever
765,948,Jozef Vlček,M,2021-02-11,2,200,4.0,24,92.0,True,False,24,sever
766,1041,Peter Svoboda,M,2017-04-09,6,143,2122.86,24,,True,True,24,sever
767,1118,Andrej Staněk,M,2018-09-21,4,-22,2040.0,24,,True,True,24,sever
768,1138,Miroslav Beneš,M,2018-04-04,5,148,2082.96,24,,True,True,24,sever
769,1250,Vladimír Pospíšil,M,2018-05-07,5,115,2082.3,24,,True,True,24,sever
770,1285,Štefan Procházka,M,2016-08-17,7,13,2160.26,24,,True,False,24,sever
771,1684,Denisa Černá,F,2019-10-30,3,-61,2000.0,24,,True,True,24,sever
772,1905,Jana Hlaváčková,F,2016-10-16,6,-47,2120.0,24,,True,True,24,sever
773,1935,Karolína Bílá,F,2016-09-22,6,-23,2120.0,24,,True,True,24,sever
774,2833,Alena Křenková,F,2021-06-29,2,62,1.24,24,,True,False,24,sever
775,2897,Blanka Kadlecová,F,2021-03-24,2,159,3.18,24,,True,False,24,sever
776,3042,Gabriela Novotná,F,2019-05-09,4,113,2042.26,24,,True,True,24,sever
777,3046,Gabriela Kučerová,F,2019-02-08,4,203,2044.06,24,,True,True,24,sever
778,36,Jan Macháček,M,2018-10-31,4,-62,2040.0,75,,True,True,75,bystrc
779,52,Petr Urban,M,2021-03-06,2,177,3.54,75,,True,False,75,bystrc
780,199,Martin Pekař,M,2016-08-01,7,29,2160.58,75,,True,False,75,bystrc
781,245,Pavel Procházka,M,2021-03-01,2,182,3.64,75,,True,False,75,bystrc
782,303,Lukáš Mach,M,2019-08-19,4,11,2040.22,75,,True,True,75,bystrc
783,414,Adam Hájek,M,2018-04-15,5,137,2082.74,75,,True,True,75,bystrc
784,494,Ondřej Hájek,M,2020-12-17,2,-109,1000.0,75,,True,False,75,bystrc
785,528,Václav Horák,M,2021-07-11,2,50,1.0,75,,True,False,75,bystrc
786,562,Tomáš Novotný,M,2021-02-06,2,205,4.1,75,,True,False,75,bystrc
787,608,Radim Horák,M,2020-06-13,3,78,2001.56,75,,True,True,75,bystrc
788,724,Radek Černý,M,2018-01-05,5,237,2084.74,75,,True,True,75,bystrc
789,1537,Matúš Růžička,M,2017-04-29,6,123,2122.46,75,,True,True,75,bystrc
790,1540,Matúš Šimek,M,2021-02-19,2,192,3.84,75,,True,False,75,bystrc
791,1740,Eva Jelínková,F,2019-11-04,3,-66,2000.0,75,,True,True,75,bystrc
792,1965,Kateřina Procházková,F,2019-09-09,3,-10,2000.0,75,,True,True,75,bystrc
793,2008,Klára Horáková,F,2017-06-01,6,90,2121.8,75,,True,True,75,bystrc
794,2034,Klára Vlčková,F,2019-01-04,4,238,2044.76,75,,True,True,75,bystrc
795,2131,Ludmila Malá,F,2018-04-03,5,149,2082.98,75,,True,True,75,bystrc
796,2577,Simona Kadlecová,F,2018-12-14,4,-106,2040.0,75,,True,True,75,bystrc
797,2578,Simona Tichá,F,2017-12-21,5,-113,2080.0,75,,True,True,75,bystrc
798,2643,Tereza Dvořáková,F,2018-06-19,5,72,2081.44,75,,True,True,75,bystrc
799,2875,Andrea Tomášková,F,2016-11-08,6,-70,2120.0,75,,True,True,75,bystrc
800,2967,Dominika Veselá,F,2017-06-29,6,62,2121.24,75,,True,True,75,bystrc
801,3110,Irena Rýdlová,F,2020-04-30,3,122,2002.44,75,,True,True,75,bystrc
802,3139,Kamila Matějová,F,2020-07-04,3,57,2001.14,75,,True,True,75,bystrc
803,38,Jan Staněk,M,2018-09-30,4,-31,2040.0,63,,True,True,63,bystrc
804,599,Tomáš Pekař,M,2021-08-16,2,14,0.28,63,,True,False,63,bystrc
805,604,Radim Černý,M,2016-10-11,6,-42,2120.0,63,,True,True,63,bystrc
806,699,Josef Bílý,M,2018-04-19,5,133,2082.66,63,,True,True,63,bystrc
807,910,Ján Kadlec,M,2017-04-18,6,134,2122.68,63,,True,True,63,bystrc
808,961,Ivan Svoboda,M,2018-04-15,5,137,2082.74,63,,True,True,63,bystrc
809,1203,Igor Dvořák,M,2017-06-30,6,61,2121.22,63,,True,True,63,bystrc
810,1318,Štefan Staněk,M,2018-11-26,4,-88,2040.0,63,,True,True,63,bystrc
811,1367,Patrik Veselý,M,2016-08-24,7,6,2160.12,63,,True,False,63,bystrc
812,1409,Viktor Němec,M,2021-08-19,2,11,0.22,63,,True,False,63,bystrc
813,1424,Viktor Vávra,M,2017-11-22,5,-84,2080.0,63,,True,True,63,bystrc
814,1609,Anna Němcová,F,2021-04-06,2,146,2.92,63,,True,False,63,bystrc
815,1863,Ivana Pechová,F,2019-08-22,4,8,2040.16,63,,True,True,63,bystrc
816,1880,Jana Nováková,F,2020-01-24,3,219,2004.38,63,,True,True,63,bystrc
817,1973,Kateřina Marešová,F,2019-11-11,3,-73,2000.0,63,,True,True,63,bystrc
818,2121,Ludmila Svobodová,F,2021-04-30,2,122,2.44,63,,True,False,63,bystrc
819,2143,Ludmila Pechová,F,2018-01-29,5,213,2084.26,63,,True,True,63,bystrc
820,2211,Marta Malá,F,2019-03-02,4,181,2043.62,63,,True,True,63,bystrc
821,2318,Monika Kočová,F,2020-12-23,2,-115,1000.0,63,,True,False,63,bystrc
822,2338,Natálie Tichá,F,2017-07-08,6,53,2121.06,63,,True,True,63,bystrc
823,2898,Blanka Tichá,F,2020-08-02,3,28,2000.56,63,,True,True,63,bystrc
824,2964,Dominika Černá,F,2020-07-25,3,36,2000.72,63,,True,True,63,bystrc
825,3101,Irena Urbanová,F,2019-04-08,4,144,2042.88,63,,True,True,63,bystrc
826,39,Jan Pekař,M,2019-04-27,4,125,2042.5,19,,True,True,19,slatina
827,179,Martin Bílý,M,2018-11-19,4,-81,2040.0,19,,True,True,19,slatina
828,472,Jakub Horváth,M,2016-10-08,6,-39,2120.0,19,,True,True,19,slatina
829,589,Tomáš Kratochvíl,M,2021-07-05,2,56,1.12,19,,True,False,19,slatina
830,629,Radim Kratochvíl,M,2016-06-10,7,81,2161.62,19,,True,False,19,slatina
831,645,Jaroslav Procházka,M,2021-02-12,2,199,3.98,19,,True,False,19,slatina
832,668,Jaroslav Vlček,M,2018-10-26,4,-57,2040.0,19,,True,True,19,slatina
833,975,Ivan Fiala,M,2019-03-30,4,153,2043.06,19,,True,True,19,slatina
834,1394,Patrik Janda,M,2021-04-20,2,132,2.64,19,,True,False,19,slatina
835,1451,Róbert Marek,M,2016-12-26,6,-118,2120.0,19,,True,True,19,slatina
836,1639,Anna Šťastná,F,2017-09-22,5,-23,2080.0,19,,True,True,19,slatina
837,1680,Denisa Nováková,F,2020-11-02,2,-64,1000.0,19,,True,False,19,slatina
838,1831,Helena Benešová,F,2018-03-29,5,154,2083.08,19,,True,True,19,slatina
839,1977,Kateřina Kadlecová,F,2017-11-30,5,-92,2080.0,19,,True,True,19,slatina
840,2017,Klára Kadlecová,F,2019-10-28,3,-59,2000.0,19,,True,True,19,slatina
841,2018,Klára Tichá,F,2017-11-27,5,-89,2080.0,19,,True,True,19,slatina
842,2030,Klára Rýdlová,F,2020-01-08,3,235,2004.7,19,,True,True,19,slatina
843,2206,Marta Kučerová,F,2020-10-14,2,-45,1000.0,19,,True,False,19,slatina
844,2559,Renata Šťastná,F,2018-10-16,4,-47,2040.0,19,,True,True,19,slatina
845,2720,Zdeňka Nováková,F,2018-01-26,5,216,2084.32,19,,True,True,19,slatina
846,2959,Daniela Šťastná,F,2019-09-15,3,-16,2000.0,19,,True,True,19,slatina
847,3006,Eliška Kučerová,F,2021-02-16,2,195,3.9,19,,True,False,19,slatina
848,3121,Kamila Svobodová,F,2018-08-25,5,5,2080.1,19,,True,True,19,slatina
849,42,Petr Novotný,M,2016-09-17,6,-18,2120.0,27,,True,True,27,kohoutovice
850,73,Petr Polák,M,2020-09-19,2,-20,1000.0,27,24.0,True,False,27,kohoutovice
851,89,Tomáš Němec,M,2019-08-19,4,11,2040.22,27,,True,True,27,kohoutovice
852,321,David Svoboda,M,2019-12-19,3,-111,2000.0,27,,True,True,27,kohoutovice
853,490,Ondřej Pospíšil,M,2018-11-11,4,-73,2040.0,27,,True,True,27,kohoutovice
854,814,Aleš Hájek,M,2019-11-29,3,-91,2000.0,27,,True,True,27,kohoutovice
855,1502,Erik Mareš,M,2020-04-02,3,150,2003.0,27,,True,True,27,kohoutovice
856,1613,Anna Marešová,F,2020-05-04,3,118,2002.36,27,,True,True,27,kohoutovice
857,1806,Helena Kučerová,F,2016-10-31,6,-62,2120.0,27,,True,True,27,kohoutovice
858,1813,Helena Marešová,F,2018-12-18,4,-110,2040.0,27,,True,True,27,kohoutovice
859,1960,Kateřina Nováková,F,2018-05-15,5,107,2082.14,27,,True,True,27,kohoutovice
860,1974,Kateřina Růžičková,F,2017-05-16,6,106,2122.12,27,,True,True,27,kohoutovice
861,2068,Lenka Zábranská,F,2021-01-05,2,237,4.74,27,,True,False,27,kohoutovice
862,2138,Ludmila Tichá,F,2017-08-16,6,14,2120.28,27,,True,True,27,kohoutovice
863,2695,Veronika Bílá,F,2019-03-15,4,168,2043.36,27,,True,True,27,kohoutovice
864,2788,Zuzana Zábranská,F,2017-07-27,6,34,2120.68,27,,True,True,27,kohoutovice
865,2838,Alena Kočová,F,2017-04-13,6,139,2122.78,27,,True,True,27,kohoutovice
866,3176,Lenka Konečná,F,2019-05-29,4,93,2041.86,27,,True,True,27,kohoutovice
867,43,Petr Dvořák,M,2020-04-03,3,149,2002.98,52,,True,True,52,turany
868,421,Adam Svatoš,M,2020-07-14,3,47,2000.94,52,,True,True,52,turany
869,605,Radim Procházka,M,2018-05-18,5,104,2082.08,52,,True,True,52,turany
870,690,Josef Pospíšil,M,2020-06-22,3,69,2001.38,52,,True,True,52,turany
871,965,Ivan Procházka,M,2019-08-28,4,2,2040.04,52,,True,True,52,turany
872,983,Ivan Mach,M,2019-09-10,3,-11,2000.0,52,,True,True,52,turany
873,1228,Igor Vlček,M,2019-09-07,3,-8,2000.0,52,,True,True,52,turany
874,1271,Vladimír Kříž,M,2018-07-26,5,35,2080.7,52,,True,True,52,turany
875,1350,Juraj Kadlec,M,2021-06-02,2,89,1.78,52,,True,False,52,turany
876,1557,Matúš Navrátil,M,2020-03-27,3,156,2003.12,52,,True,True,52,turany
877,1586,Samuel Toman,M,2019-03-07,4,176,2043.52,52,,True,True,52,turany
878,1747,Eva Vondráčková,F,2018-03-07,5,176,2083.52,52,,True,True,52,turany
879,1834,Helena Vlčková,F,2016-06-04,7,87,2161.74,52,,True,False,52,turany
880,2021,Klára Urbanová,F,2017-08-04,6,26,2120.52,52,,True,True,52,turany
881,2077,Lenka Tesařová,F,2019-04-07,4,145,2042.9,52,,True,True,52,turany
882,2241,Michaela Svobodová,F,2016-10-01,6,-32,2120.0,52,,True,True,52,turany
883,2398,Nikola Kočová,F,2019-08-01,4,29,2040.58,52,,True,True,52,turany
884,2727,Zdeňka Veselá,F,2021-07-14,2,47,0.94,52,,True,False,52,turany
885,2827,Alena Vondráčková,F,2016-12-18,6,-110,2120.0,52,,True,True,52,turany
886,44,Petr Černý,M,2020-04-09,3,143,2002.86,23,,True,True,23,jih
887,250,Pavel Pospíšil,M,2017-02-06,6,205,2124.1,23,,True,True,23,jih
888,429,Adam Kratochvíl,M,2019-12-13,3,-105,2000.0,23,,True,True,23,jih
889,529,Václav Němec,M,2019-12-28,3,-120,2000.0,23,68.0,True,True,23,jih
890,657,Jaroslav Růžička,M,2016-06-18,7,73,2161.46,23,,True,False,23,jih
891,851,Milan Marek,M,2018-08-31,4,-1,2040.0,23,,True,True,23,jih
892,921,Jozef Svoboda,M,2020-02-10,3,202,2004.04,23,,False,True,23,jih
893,951,Jozef Kříž,M,2017-03-29,6,154,2123.08,23,,True,True,23,jih
894,955,Jozef Dušek,M,2019-05-17,4,105,2042.1,23,,True,True,23,jih
895,1069,Peter Kratochvíl,M,2019-10-20,3,-51,2000.0,23,,True,True,23,jih
896,1120,Miroslav Novák,M,2018-09-14,4,-15,2040.0,23,,True,True,23,jih
897,1518,Erik Staněk,M,2021-05-21,2,101,2.02,23,,False,False,23,jih
898,1565,Samuel Procházka,M,2021-06-14,2,77,1.54,23,,True,False,23,jih
899,1696,Denisa Konečná,F,2019-03-21,4,162,2043.24,23,,True,True,23,jih
900,1709,Denisa Marečková,F,2019-05-28,4,94,2041.88,23,,True,True,23,jih
901,1985,Kateřina Hlaváčková,F,2018-05-09,5,113,2082.26,23,,True,True,23,jih
902,2225,Marta Hlaváčková,F,2019-10-23,3,-54,2000.0,23,,True,True,23,jih
903,2766,Zuzana Kučerová,F,2017-01-18,6,224,2124.48,23,,True,True,23,jih
904,2977,Dominika Kadlecová,F,2020-11-05,2,-67,1000.0,23,,True,False,23,jih
905,46,Petr Kovařík,M,2020-01-10,3,233,2004.66,119,,True,True,119,stred
906,72,Petr Horváth,M,2019-08-22,4,8,2040.16,119,,True,True,119,stred
907,202,Michal Novotný,M,2017-01-03,6,239,2124.78,119,,True,True,119,stred
908,320,David Novák,M,2017-10-08,5,-39,2080.0,119,,True,True,119,stred
909,370,Marek Pospíšil,M,2016-06-26,7,65,2161.3,119,,True,False,119,stred
910,385,Marek Tomáš,M,2021-05-17,2,105,2.1,119,,True,False,119,stred
911,433,Adam Polák,M,2016-08-01,7,29,2160.58,119,,True,False,119,stred
912,469,Jakub Kratochvíl,M,2019-06-19,4,72,2041.44,119,,True,True,119,stred
913,503,Ondřej Mach,M,2019-07-15,4,46,2040.92,119,,True,True,119,stred
914,932,Jozef Urban,M,2020-01-25,3,218,2004.36,119,,True,True,119,stred
915,1004,Anton Černý,M,2018-11-11,4,-73,2040.0,119,,True,True,119,stred
916,1125,Miroslav Procházka,M,2018-08-30,5,0,2080.0,119,122.0,False,True,119,stred
917,1231,Igor Kříž,M,2021-06-25,2,66,1.32,119,,True,False,119,stred
918,1247,Vladimír Veselý,M,2020-02-10,3,202,2004.04,119,,False,True,119,stred
919,1286,Štefan Kovařík,M,2016-07-18,7,43,2160.86,119,,True,False,119,stred
920,1428,Viktor Vlček,M,2016-12-16,6,-108,2120.0,119,,True,True,119,stred
921,1676,Barbora Havlíčková,F,2017-11-10,5,-72,2080.0,119,,True,True,119,stred
922,1994,Kateřina Vlčková,F,2019-08-01,4,29,2040.58,119,,True,True,119,stred
923,2040,Lenka Nováková,F,2017-07-18,6,43,2120.86,119,,True,True,119,stred
924,2063,Lenka Pechová,F,2017-10-07,5,-38,2080.0,119,,True,True,119,stred
925,2091,Lucia Malá,F,2019-09-06,3,-7,2000.0,119,,True,True,119,stred
926,2214,Marta Růžičková,F,2021-04-27,2,125,2.5,119,,True,False,119,stred
927,2366,Nikola Kučerová,F,2017-10-04,5,-35,2080.0,119,,True,True,119,stred
928,2523,Renata Dvořáková,F,2017-04-14,6,138,2122.76,119,,True,True,119,stred
929,2580,Simona Jelínková,F,2020-09-17,2,-18,1000.0,119,,True,False,119,stred
930,2627,Soňa Vondráčková,F,2017-06-24,6,67,2121.34,119,,True,True,119,stred
931,2674,Tereza Vlčková,F,2019-10-18,3,-49,2000.0,119,,True,True,119,stred
932,2928,Daniela Horáková,F,2016-09-04,6,-5,2120.0,119,,True,True,119,stred
933,2936,Daniela Konečná,F,2020-05-07,3,115,2002.3,119,,True,True,119,stred
934,2945,Daniela Hlaváčková,F,2018-03-01,5,182,2083.64,119,,True,True,119,stred
935,2951,Daniela Benešová,F,2018-08-31,4,-1,2040.0,119,,True,True,119,stred
